"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Plano","Plano","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",62,9.88263809159332,98.67,2.2243,,311900,1.03660511823777,12.4774612333213,0.0478390509778774,,0.0368110250291658,0.00442546018827381,48
"City","Chandler","Chandler","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",63,5.54024748054599,85.44,5.4859,0.7639,270000,0.446428571428571,4.61061604029446,0.023037037037037,,0.105923503294418,0.0158053277875266,67.5
"City","Louisville","Louisville","KY","Louisville/Jefferson County, KY","""Louisville/Jefferson County, KY-IN""",64,7.44227580048476,,,,117300,0.686695278969957,8.91364902506964,0.0465046888320546,,0.0908352322507039,0.0223377102676333,73
"City","Henderson","Henderson","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",65,3.43411149381299,78.16,6.4477,2.0961,264300,0.379794910748196,7.00404858299595,0.0409837306091563,,0.159384131892201,0.0575853228762848,76
"City","Modesto","Modesto","CA","Modesto, CA","""Modesto, CA""",66,6.32606199770379,90.99,6.1683,1.1256,245200,0.491803278688525,9.75828111011638,0.0307340946166395,,0.114399902025602,0.0321598698716083,69
"City","Mobile","Mobile","AL","Mobile, AL","""Mobile, AL""",67,4.07832631713229,,,,109400,0.36697247706422,6.42023346303502,0.0348628884826325,,0.194118478026653,0.0365258465576478,103
"City","Jersey City","Jersey City","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",68,5.60913381808904,,,,331800,1.18938700823422,10.4527296937417,0.0585141651597347,,0.213708700697952,0.097112060296739,126
"City","Lubbock","Lubbock","TX","Lubbock, TX","""Lubbock, TX""",69,5.8017604286261,100,,,117500,0,3.61552028218695,,,0.0957497128576461,0.0174157718261534,
"City","Glendale","Glendale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",70,6.74448271463197,88.89,8.174,1.1418,202700,0.895968143354903,9.44924406047516,0.0394474592994574,,0.123504059023651,0.0263691487505217,64
"City","Durham","Durham","NC","Durham, NC","""Durham-Chapel Hill, NC""",71,7.37976782752902,87.18,,,181300,1.1154489682097,7.85246876859012,0.0484059569773856,,0.0806936236646874,0.0223121847977825,65
"City","Orlando","Orlando","FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",72,7.10932516902666,83.77,,,158200,1.28040973111396,10.3207810320781,0.0600316055625789,,0.147272769925092,0.0564853988609332,82
"City","Norfolk","Norfolk","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",73,4.56308202576859,78.05,0.8214,0.3427,177800,0.282007896221094,3.6734693877551,0.0225703037120359,,0.246337359507806,0.040724961790424,112.5
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",74,8.32886847812221,88.55,,,167100,1.27272727272727,14.2173615857826,0.0605445840813883,,0.117301760305746,0.0642890291625454,84
"City","Pensacola","Pensacola","FL","Pensacola, FL","""Pensacola-Ferry Pass-Brent, FL""",75,1.97601734915168,81.89,,,124400,0.810372771474878,4.80202190395956,0.0374035369774919,,0.170002623631549,0.0512559656796045,84
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN","""Fort Wayne, IN""",76,1.03201939022835,,,,94000,-0.31813361611877,-1.05263157894737,0.0365,,0.125494630930035,0.0343849031774557,
"City","Greensboro","Greensboro","NC",,,77,0.89169536930731,78.87,,,124400,0.24174053182917,3.15091210613599,,,0.126880801734018,0.0486927780505281,91
"City","Lincoln","Lincoln","NE","Lincoln, NE","""Lincoln, NE""",78,5.76093889526725,98.21,3.2993,1.5251,153300,0.130633572828217,2.67916945746819,0.0332420091324201,,0.0576611641341617,0.0133669865842689,68
"City","San Bernardino","San Bernardino","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",79,5.91784666411532,98.55,10.2786,2.0691,243500,0.619834710743802,10.7825295723385,0.0586201232032855,,0.15015842513546,0.052516656413764,76
"City","Corona","Corona","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",80,5.2532210741166,85.34,6.6355,0.8682,429700,0.373744452230787,4.09399224806202,0.0409774261112403,,0.0917822355937647,0.0392268200612377,72
"City","Chula Vista","Chula Vista","CA","San Diego, CA","""San Diego-Carlsbad, CA""",81,2.93915040183697,89.61,5.6022,1.093,466400,0.734341252699784,4.06068719321731,0.0115115780445969,,0.092633620820806,0.0351209094029145,62
